split,kind,query,expected_title,expected_tmdb_id,before_rank,before_top1,after_rank,after_top1,rank_change
val,scene,"three different versions of the same masked hero from different realities meet each other for the first time and compare notes on their doubles, awkwardly finishing each other's catchphrases",Spider-Man: No Way Home (2021),634649,1,Spider-Man: No Way Home,1,Spider-Man: No Way Home,0
val,scene,"a space ranger stuck testing a faster-than-light fuel returns from what feels like minutes to find years have passed on the surface each time, eventually discovering the armored villain hunting him is an alternate version of himself grown old",Lightyear (2022),718789,1,Lightyear,1,Lightyear,0
val,scene,a former astrophysicist who is now dying picks up a reforged enchanted hammer and transforms into a powerful thunder goddess for the first time,Thor: Love and Thunder (2022),616037,1,Thor: Love and Thunder,1,Thor: Love and Thunder,0
val,scene,a family is accidentally pulled into a microscopic dimension and discovers a exiled conqueror trapped there who has been quietly building an empire and an army out of the realm's strange inhabitants,Ant-Man and the Wasp: Quantumania (2023),640146,,The Secret of Lost Valley,,Mulan,
val,scene,a wisecracking mercenary in a red suit and a feral clawed mutant beat each other bloody in a junkyard alley before grudgingly agreeing to team up,Deadpool & Wolverine (2024),533535,2,"Monsters, Inc.",2,"Monsters, Inc.",0
val,premise,"a small car with a mind of its own is smuggled to Mexico chasing a stolen treasure map, with a mischievous monkey along for the ride",Herbie Goes Bananas (1980),12129,2,Herbie Goes to Monte Carlo,2,Herbie Goes to Monte Carlo,0
val,premise,"two teenage brothers on a struggling Oklahoma farm clash after their absentee rodeo-rider father returns, and one of them gets shot during a drug deal gone wrong",Tex (1982),27332,1,Tex,1,Tex,0
test,premise,a tiny cleaning machine follows a white robot into space after she finds a living plant,WALL·E (2008),10681,1,WALL·E,1,WALL·E,0
test,scene,two robots dance outside a spaceship using a fire extinguisher to propel themselves,WALL·E (2008),10681,,Unidentified Flying Oddball,,Unidentified Flying Oddball,
test,premise,a music teacher and a soul who refuses to be born accidentally end up in the wrong bodies,Soul (2020),508442,1,Soul,1,Soul,0
test,scene,a cat ends up with a jazz musician's soul while another soul occupies his human body,Soul (2020),508442,1,Soul,1,Soul,0
test,premise,an islander's daughter sails beyond the reef to return a stolen green stone and save her home,Moana (2016),277834,2,Moana,2,Moana,0
test,scene,a girl walks toward a lava creature after the sea parts and gives it back its heart,Moana (2016),277834,,Moana 2,,Moana 2,
test,premise,an ambitious cook and a broke prince must travel through the bayou to break a transformation curse,The Princess and the Frog (2009),10198,4,Beauty and the Beast,2,Beauty and the Beast,2
test,scene,a firefly dies and a new star appears beside the star he loved,The Princess and the Frog (2009),10198,,Ghost Rider,,Ghost Rider,
test,premise,a servant girl mistreated by her stepmother and stepsisters gets help from her fairy godmother to attend a royal ball,Cinderella (1950),11224,1,Cinderella,1,Cinderella,0
test,scene,mice and birds sew a girl a dress for a ball while her cruel stepsisters tear it apart out of jealousy,Cinderella (1950),11224,1,Cinderella,1,Cinderella,0
test,premise,a girl follows a white rabbit down a hole into a nonsensical world full of strange talking creatures,Alice in Wonderland (1951),12092,3,Labyrinth,1,Alice in Wonderland,2
test,scene,a grinning cat that can disappear leaving only his smile behind gives a girl confusing directions at a fork in the road,Alice in Wonderland (1951),12092,,The Aristocats,,The Aristocats,
test,premise,a wealthy woman's pampered cats are abandoned in the countryside by a jealous butler who wants her fortune for himself,The Aristocats (1970),10112,1,The Aristocats,1,The Aristocats,0
test,scene,an alley cat and his musician friends have a wild jazz jam session on rooftops with a mother cat and her kittens,The Aristocats (1970),10112,1,The Aristocats,1,The Aristocats,0
test,premise,two mice from a rescue organization travel to a swamp to save a little orphan girl held captive by a woman after diamonds,The Rescuers (1977),11319,1,The Rescuers,1,The Rescuers,0
test,scene,a little girl is lowered down into a dark pirate skull cave on a rope to retrieve a giant diamond from a dangerous crocodile lair,The Rescuers (1977),11319,2,The BFG,2,The BFG,0
test,premise,a deformed bell ringer hidden away in a cathedral falls for a gypsy woman while a judge obsessed with her hunts them both,The Hunchback of Notre Dame (1996),10545,1,The Hunchback of Notre Dame,1,The Hunchback of Notre Dame,0
test,scene,a bell ringer swings down from a cathedral on a rope to rescue a woman from being burned at the stake in the square below,The Hunchback of Notre Dame (1996),10545,1,The Hunchback of Notre Dame,1,The Hunchback of Notre Dame,0
test,premise,three witches executed in salem centuries ago are resurrected on halloween night by a teenage boy who lights a candle,Hocus Pocus (1993),10439,1,Hocus Pocus,1,Hocus Pocus,0
test,scene,three resurrected witches on brooms fly through the night sky over salem chasing children on halloween,Hocus Pocus (1993),10439,1,Hocus Pocus,1,Hocus Pocus,0
test,premise,a divorced father accidentally causes santa to fall off his roof and is forced to take over as the new santa claus,The Santa Clause (1994),11395,1,The Santa Clause,1,The Santa Clause,0
test,scene,a man wakes up gradually turning pudgier and growing a white beard he can't shave off as he slowly becomes santa claus,The Santa Clause (1994),11395,2,Noelle,2,Noelle,0
test,premise,a computer programmer is digitized and pulled inside a mainframe where programs are forced to fight in gladiator games,Tron (1982),97,1,Tron,1,Tron,0
test,scene,a man riding a glowing light cycle inside a computer world leaves a solid trail of light to try to trap opponents,Tron (1982),97,1,Tron,1,Tron,0
test,premise,a ragtag group of rebels steals the plans for the empire's new superweapon just before the original star wars movie begins,Rogue One: A Star Wars Story (2016),330459,1,Rogue One: A Star Wars Story,1,Rogue One: A Star Wars Story,0
test,scene,a lone dark warrior in black armor slices through rebel soldiers with a red lightsaber in a corridor lit only by blaster fire,Rogue One: A Star Wars Story (2016),330459,,The Invincible Iron Man,,The Invincible Iron Man,
test,premise,an archaeologist and a nightclub singer are pulled into rescuing enslaved children from a cult that rips still-beating hearts out of victims,Indiana Jones and the Temple of Doom (1984),87,2,Indiana Jones and the Last Crusade,2,Indiana Jones and the Last Crusade,0
test,scene,an archaeologist and his companions escape a collapsing mine on a rickety out of control mine cart racing down the tracks,Indiana Jones and the Temple of Doom (1984),87,1,Indiana Jones and the Temple of Doom,1,Indiana Jones and the Temple of Doom,0
test,scene,a lion cub is told to run away and hide after a wildebeest stampede kills his father in a gorge,The Lion King (1994),8587,,Mufasa: The Lion King,,Mufasa: The Lion King,
test,scene,"a meerkat and a warthog teach an orphaned lion cub their carefree philosophy about not worrying, eating bugs in the jungle",The Lion King (1994),8587,,The Jungle Book,,The Jungle Book,
test,scene,"a boy is taken aboard an alien ship and returns eight years later without having aged a day, then discovers the ship's onboard intelligence copied a star map directly into his brain",Flight of the Navigator (1986),10122,1,Flight of the Navigator,1,Flight of the Navigator,0
test,scene,"a cartoon boy with a big nose and his talking dog uncover a gentle swamp monster the town believes is a dangerous beast, and try to stop the mayor from hunting it down",Doug's 1st Movie (1999),16508,,Bristle Face,,Bristle Face,
test,premise,a group of kids on summer break uncover a secret adult plot involving a giant freeze ray meant to cancel summer vacation forever,Recess: School's Out (2001),19405,1,Recess: School's Out,1,Recess: School's Out,0
test,scene,an evil toy version of Santa Claus takes over the North Pole workshop and turns it into a militarized toy factory while the real Santa is stuck trying to find a wife,The Santa Clause 2 (2002),9021,2,The Santa Clause 3: The Escape Clause,2,The Santa Clause 3: The Escape Clause,0
test,scene,"a ragtag college all-star hockey team pulls off a stunning upset over the dominant Soviet squad at the Olympics, with the broadcaster asking if anyone believes in miracles",Miracle (2004),14292,1,Miracle,1,Miracle,0
test,premise,a young queen-to-be of a small European country is pressured into an arranged marriage to secure the throne while also being forced to attend a strict princess finishing camp,The Princess Diaries 2: Royal Engagement (2004),11130,2,The Princess Diaries,2,The Princess Diaries,0
test,premise,"a Navy SEAL is hired to babysit a family of unruly kids using military discipline while their mother is away, and ends up protecting them from an actual threat",The Pacifier (2005),10022,1,The Pacifier,1,The Pacifier,0
test,scene,a college basketball coach starts an all-Black lineup for the first time in an NCAA championship game against an all-white powerhouse team in the 1960s,Glory Road (2006),9918,1,Glory Road,1,Glory Road,0
test,scene,"a boy inventor is taken to the future by a kid in a jetpack, where he discovers the man in the bowler hat pursuing him is actually someone he knew disguised in a robotic suit for revenge",Meet the Robinsons (2007),1267,1,Meet the Robinsons,1,Meet the Robinsons,0
test,premise,a pampered chihuahua gets lost during a trip to Mexico and has to survive alongside street dogs while being pursued by a gang of Dobermans working for a diamond smuggler,Beverly Hills Chihuahua (2008),14405,1,Beverly Hills Chihuahua,1,Beverly Hills Chihuahua,0
test,scene,a dog who thinks he has real superpowers from a TV show gets shipped across the country in a box and is devastated to discover he can't actually survive being hit by a truck,Bolt (2008),13053,1,Bolt,1,Bolt,0
test,scene,a miserly old man is chased through the snowy streets by a menacing hooded ghost driving a horse-drawn hearse that shrinks him down and drags him toward his own grave,A Christmas Carol (2009),17979,,The Man From Snowy River II,,The Man From Snowy River II,
test,scene,"a young man animates mops and brooms with magic to help him clean a room, echoing an old cartoon segment, while his sorcerer mentor watches with a mix of amusement and alarm",The Sorcerer's Apprentice (2010),27022,2,Bedknobs and Broomsticks,2,Bedknobs and Broomsticks,0
test,scene,"a group of stuffed animal friends misread a note and convince themselves a mysterious backwards-spelled monster has kidnapped their human friend, so they set off to rescue him",Winnie the Pooh (2011),51162,,The Kids Who Knew Too Much,,The Kids Who Knew Too Much,
test,scene,a group of forgotten puppet performers reunite for one night to put on a telethon and save their old theater from being demolished by an oil tycoon,The Muppets (2011),64328,1,The Muppets,1,The Muppets,0
test,scene,"a fairy godmother waves a wand over a pumpkin, mice, and a lizard in a moonlit garden, transforming them into a glowing carriage, horses, and footmen before a ball",Cinderella (2015),150689,,Cinderella,,Cinderella,
test,scene,"an artificial intelligence created from an alien scepter lifts an entire Eastern European city into the sky, intending to drop it like a meteor, while heroes race to evacuate civilians",Avengers: Age of Ultron (2015),99861,2,TRON: Ares,1,Avengers: Age of Ultron,1
test,scene,a shrinking superhero duo turn an entire building down to the size of a rolling suitcase and wheel it down the street to escape before growing it back to normal,Ant-Man and the Wasp (2018),363088,2,Ant-Man,2,Ant-Man,0
test,scene,"a grown man overwhelmed with adult responsibilities is reunited in a London park with a stuffed bear who still talks slowly about honey, and it unlocks memories of his childhood in the countryside",Christopher Robin (2018),420814,2,Winnie the Pooh and the Honey Tree,1,Christopher Robin,1
test,premise,"a street thief falls for a princess disguised as a commoner, then uses a wish from a blue genie in a lamp to pose as a prince and win her hand",Aladdin (2019),420817,1,Aladdin,1,Aladdin,0
test,scene,a sled dog team led by an aging lead dog races across cracking sea ice in the dark to deliver medicine to a town in the middle of a diphtheria outbreak,Togo (2019),606856,1,Togo,1,Togo,0
test,premise,"a young woman disguises herself as a man to take her ailing father's place in the imperial army, hiding a rare gift for channeling inner energy that she's been told to suppress",Mulan (2020),337401,2,Mulan,2,Mulan,0
test,scene,"a warrior on a quest to reassemble a shattered gem lays down her weapon and offers her hand in trust to a rival she has every reason to fear, right before an ancient dragon spirit returns",Raya and the Last Dragon (2021),527774,1,Raya and the Last Dragon,1,Raya and the Last Dragon,0
test,scene,"a spy sits down for an awkward, tense family dinner reunion with the fake parents and sister she was placed with as a child for a Soviet sleeper cell operation years earlier",Black Widow (2021),497698,3,The Parent Trap,3,The Parent Trap,0
test,premise,a family of retro-futuristic scientists and adventurers in an alternate 1960s must defend Earth from a planet-devouring cosmic entity and its silver herald,The Fantastic 4: First Steps (2025),617126,1,The Fantastic 4: First Steps,1,The Fantastic 4: First Steps,0
test,premise,a stray mule with an uncanny talent for kicking perfect field goals gets recruited by a hapless small-town professional football team desperate for a win,Gus (1976),20639,1,Gus,1,Gus,0
